frame,x,y
5024,3557.6,6065
1450,5288.4,3992.5
535,9431.8,99.282
3098,6509.9,8542.9
1127,9654.8,1875.8
100,6028.5,1050.3
174,852.92,9673.8
253,1756.2,7615.7
542,5298.3,4716.1
877,6415.4,8556.8
4206,4085.9,1910.5
884,3230.4,9291.5
821,8900.4,1958.1
280,2845.5,6681.8
3392,173.88,2319.8
6617,438.86,1248.5
1711,5780.5,5634.7
6593,401.71,1174.8
2172,8620.9,6356
5183,3985.3,4616.8
983,1656.2,732.47
10,2242.7,4803
114,3031.7,1887.5
7,3802,5320.4
1045,1291.4,7568.6
3050,7104.8,309.02
1374,6472.8,2672.4
901,9632.5,7125.6
7343,3185.3,643.41
481,3014.3,8812.4
1076,4785,9341.3
4344,2090.9,6555.2
126,6280.1,7176.1
1728,7581.8,7530.8
3393,2357.3,7369.6
5623,9779.1,8572
1008,7367.2,9499.1
1962,5143.2,7429
6740,2097.4,502.03
44,4800.1,9397.9
1208,2347.5,2586.3
208,2933.8,8748.5
1474,6548,2106.3
661,6924.5,7337.4
154,3862.8,2991.7
3202,6807.2,8500
878,9391.8,247.64
1627,1917.9,8639.9
839,2349.9,281.2
1134,7810.2,7068.7
5276,6957.4,8903.4
1623,3998,7390
69,3206,1406.6
8501,520.28,8635.5
654,6819.3,6250.1
5939,9442.4,5662.7
4345,806.69,121.38
2667,5376.1,7224.8
1906,6125.1,6203.6
1473,9554.7,4759.1
1052,181.09,4734.4
731,4449,6429.2
974,4683.5,7653.6
16,6435,2647.6
625,5594.3,7891.9
158,2933.1,768.17
15,2.7671,5999.4
473,7497.4,7988.8
39,9664.5,1889.2
628,4145.1,1996.1
3755,7632.1,1274.8
597,6446.2,5220.1
2839,2750.3,6531.4
3810,6399.4,9228.7
91,1231.9,2035.7
2670,4585,8280.3
4974,6469.3,9314
7593,6965.9,7385.3
880,2516.4,4037.4
3239,5570,5675.9
576,3827.8,496.45
2776,3182.7,8314.4
6831,6097.5,6283.4
3209,2189.4,7894.9
1473,6445.3,5173.8
1453,9207.1,4885.3
7376,727.83,9141.5
2395,5792.7,5692.2
127,1966.8,9904.7
72,165.51,7625.2
1913,6040,866.62
215,573.3,3102.9
2587,2975.6,1949.8
5448,5750.5,691.84
9502,3926.7,4615.4
1268,7480.7,496.98
1904,467.29,8498.9
2402,4655.5,4023.5
399,7317.7,8223.3
256,3273.9,1406.9
4080,1537.7,9699.2
3069,5503.8,5695.6
132,4674.4,4077
2882,7512.5,463.87
2036,5364,3524.5
5961,4991.5,7703.3
158,2230.4,414
2803,6906.1,6394
826,6009.8,5350
678,126.13,4657.1
1966,7618.1,7118.5
7345,1451.6,6978.9
1598,9100.9,2984.8
4355,265.82,2569.3
1285,2746.8,2502.7
91,802.76,9663.4
7616,4372,8808.9
3282,407.93,7999.8
219,2879.4,2832.8
3096,6486.1,8539.7
1258,2769.8,6577.3
61,6431.3,7357.5
9829,7062.6,4419.9
56,3826.5,3027.8
391,3294.6,1626.2
345,2887.1,6686.4
4972,7869.5,4463.3
458,7431.5,464.01
3059,392.59,1262.3
717,285.27,1076.2
2171,8612.3,6375.7
8456,6047.7,6283.6
233,3232.6,3759.2
4401,2226.8,491.85
849,327.66,9929.9
356,2645.1,67.557
906,2354.1,2554.4
3236,3511.6,1060
295,2650.4,2443.3
112,1258.4,2075.6
2653,3594.7,5238.2
570,6698.8,2830
4880,2886.7,2847.7
9,3783.1,2343.7
158,7704.7,2781.5
3884,6085.9,1727.5
6,4520,5561.8
9866,4757.3,4992.4
1533,9744.7,4948.1
1898,3206.5,3791.9
223,9775.6,7975.5
366,2653.7,9230.6
1087,6448,2619.6
309,5505.9,5604
737,7162.9,7447.1
679,5759.5,5089.3
1070,18.947,6474.2
1879,8904.7,2122.7
1967,8264.3,6245
21,6720.6,2867.6
1908,9419.4,263.8
3275,2566.6,6153.6
916,2342.5,4486.9
910,9114.5,3000.8
482,5241.7,8710.6
381,8943.6,1991.6
1597,402.66,2500.5
1248,2378.9,2603.5
2118,3458.7,9479.8
1944,3203,8348.5
640,445.59,1149.7
707,9688.2,5193
88,2656.3,2423.3
644,7308.7,1445.3
881,205.88,9944.5
680,5744.3,3440.3
4551,245.56,2282.6
94,7717.9,793.29
806,9669.4,4944.7
2723,5672.7,3248.8
296,5763.8,3271.7
262,8002,3938.1
866,6320,7932.9
2612,1380.4,3729
1185,806.08,5139.6
1063,7685.4,817.1
8665,8805,6657.3
256,7650.8,1244.1
1411,4373.4,5179.7
359,5683.7,7182.7
39,867.84,9811.8
6789,8735,727.23
5829,3271.7,9353.7
1419,1064.4,8310.2
8029,8514.6,6256.1
226,3934.7,5596.6
250,3990.6,8791
237,4555.9,6427.5
395,3260,5644.8
701,6357.9,8120.2
2249,5489.4,6467.2
337,9621,5129.9
92,3806.2,2466.5
4810,786.16,5291.9
152,261.08,2579.8
345,6808.1,2886.8
1402,7695.3,4441
139,2283.3,7413.5
55,1877,8625.4
4036,5584.4,5641.5
673,6456,2651
19,5026.9,6437.7
245,4736.5,4986.9
925,3645.8,5200.9
1295,2689.9,3101.4
1331,9435.9,99.57
654,8006.8,826.81
79,3257.2,3757.9
2483,2781.5,4031
8979,5245.7,4008.8
571,7611,2394.9
162,2121.4,5960.1
1168,5141.8,9138.8
253,9651.5,7138.4
567,8877.7,6519.2
3746,21.351,648.53
7933,2774.5,2482.4
822,5000,9666.3
2570,5791,5694.9
827,3170.9,9233.2
889,5075.1,9176.3
2363,2942.7,759.12
1628,2581.8,2057.9
304,8924.7,2076.3
625,4123.5,1996.8
1987,3147.3,921.71
360,3267.3,1596.1
245,972.53,4980.7
2714,7091.4,4045.7
6188,2940.4,4315.9
1688,4401.7,5860.7
611,273.84,2500.7
353,5181.7,4730.3
4063,8824.4,822.59
85,2975.5,1908.7
428,3165,6208.6
637,921.94,9883.8
1049,6112.9,6306
853,1944.2,3234.7
619,7129.1,6024.8
8,7672.7,4386.7
913,6475.1,8559.4
745,9093.2,2945.5
7091,1692.9,7604
3937,4983.4,2046.3
1692,5071.4,9044.6
166,1027.1,1391.6
1762,4311.5,3701.9
2305,3141.3,6249.3
8065,9390.5,6699.8
217,3573.5,7077.9
3657,3194.9,654.1
833,8098.3,1390.8
1183,5340.6,3428.9
1854,2342.2,2348.9
1087,9331.3,8485
584,8788.3,4835.1
2254,9052.7,5229.8
427,4423.1,8803.7
65,612.2,8310.6
4790,2087.5,6661.6
83,9797.1,5722.6
43,404.68,9057.5
211,5443.4,3991.3
4339,7027.2,8988
7978,2035.2,7279.6
3616,6146.7,5036.3
1127,1414.2,7419
659,1282.2,2253.5
154,7477.8,9205.7
471,5117.8,534.8
437,4627.5,5848.2
30,2715.6,3935.2
127,9836.9,5756.5
3166,2498.5,6194
459,6481.2,5138.7
1204,2805.1,3416.5
386,3343.4,4884.2
1482,6406.4,7368
3535,8348.6,9551.9
104,3799,2402.4
1332,9420,6726.5
236,2598.4,187.87
3657,5537.4,6446.9
7208,3221.1,3832.4
293,9745.5,8523
152,2693.3,5144.2
7369,3175.8,664.99
18,8530.9,6267.6
67,5380,7129.4
51,1898.4,3220
5783,7651.7,597.83
778,6439.2,7374.8
3632,5692.4,7210.1
13,8564.2,6235.9
8605,5687.9,7210.8
2442,161.68,4703
165,6053.9,6527.2
3231,7462.9,446.98
3403,7521.2,6132.9
19,4111.6,5643.4
3214,1061,5982
221,2518.4,6410.4
87,5582.3,4916.8
4080,6435,7449.6
1857,3302.9,6668
2136,2040.1,1283.5
1371,737.8,2232.6
141,8358.4,6528.6
2925,7258.5,9423.5
57,9359.5,4916.7
5274,7017.4,8920.1
192,8031.9,3963.7
888,8696.4,6383
222,6161,3975.7
321,9272.1,9840.1
1968,8223.9,6269.9
277,9016,3245.1
61,7957.4,2410.7
967,2079.8,6581.3
3380,7657.8,1297.5
2409,1282.6,5924.8
129,3643.2,4176
88,8189.1,7898.9
665,404.21,2526.8
1199,1931.3,6011.6
756,9464,504.64
503,3179.5,1369.3
238,3866.9,858.19
6152,296.52,9951.7
1448,2481.5,4028.8
2684,6004.3,5737.5
25,3602.1,7047.9
244,4532,6437
4738,9551.1,3441.7
749,8274.1,5279.1
6799,2876.9,2252.1
2231,9877.6,6457.2
3601,6300.5,7160.9
868,2690.5,2462
102,9514.5,3440.6
1559,2113,7329.7
198,3845.4,533.16
1143,4563.1,9699.7
59,4651.4,5842.3
4730,7934.2,1377.3
1362,2183.3,528.91
61,6185.8,8073
170,5150.8,488.43
2194,9806.8,2620.6
6057,809.11,134.55
884,9470.9,188.27
5529,2564.9,2033.3
6,4831,8510.7
269,9697.5,9377.2
129,7674.5,829.07
55,2638.5,8371.3
697,6057.8,4984.2
158,1528.7,5062.4
3709,1934.3,6001.2
1619,1538.7,5035.2
527,9398.9,8499.6
6637,6119.8,4997.9
30,799.82,5191.1
495,7496.9,1527.6
122,6969,3514.9
1421,3473.4,2465.6
1676,7305,1391
268,8410.1,739.03
80,9619.8,5737.5
1260,7207.9,2824.8
955,5206.9,4678.4
16,889.84,9645.1
1132,9669.1,1909.9
66,3271.4,4503.4
3053,2978.4,163.57
587,7475.1,7942.1
2237,1816.7,8567.8
639,3554.6,7102.2
333,492.76,6737.7
1779,8654.5,2492.9
2442,5942.5,7221.1
3092,3445.1,1055.4
1817,6027.1,5735.7
8165,6912.3,4438.1
840,3070.1,1940.8
204,7518.7,6108.8
8175,62.643,708.92
44,1052.5,5991.4
2949,1956.8,5999.6
5635,3858.5,2966.1
49,522.11,5745
510,5068.9,9696.2
1127,743.23,3256.7
862,9709.5,1098.3
1175,8563.1,2145.7
75,8060.3,1181.7
7630,6536.1,2077.9
306,6722.3,2801.1
274,2789.9,6528.1
405,5602.3,9914
2776,1683.2,4706.3
1714,2005.7,3357
413,3913.1,5600.3
1116,9998.4,8155.3
164,9797.8,5689.6
58,5108,9162.9
2069,4714.8,6723.2
2251,8697.5,6442.1
1898,3813.5,5421.1
8069,9336.6,6654.4
7252,1700.3,7611.1
2803,3525.8,1099.3
36,9184.1,4876.6
1210,2312.1,2556.9
7898,9535.2,5592.8
3759,5140.4,9216
775,3840,3046.8
215,3847.9,3710.9
2376,3931.8,4695.8
8195,61.615,3354.4
71,1560.3,5241.9
1523,5326.7,7182.7
4092,9206.5,4900.8
4,2667.1,6984.6
4906,9018.1,2970.3
28,3844.8,530.64
148,4990.7,2037.8
304,4593.5,3887.2
1469,4426.3,5201.9
1524,882.31,9674.9
2113,7308.5,6995
2536,7157.1,9995
2595,3723.5,5377.8
6646,1934.1,7556.4
2723,2387.4,4486.6
2371,1210,2279.9
2136,2953.3,787.86
3140,9557.4,522.39
2172,5941.8,6595.3
7,2746.1,7332.5
350,2606.6,53.694
162,4426,5853.6
342,6782.5,2838.3
1129,1191.6,9206.9
694,8355.1,6509.8
897,489.99,5948.9
279,47.408,638.63
601,5901.7,2068.9
30,3242.5,1740.9
8155,3290.9,134.37
287,97.605,1154.3
210,4128.9,5690.9
2257,7518.2,9213.3
192,3548.9,7010.4
644,8804,3113.9
2471,9707.9,4940
4509,3187.8,9261.1
117,8618.2,2502.6
483,3055.2,8827.1
7835,7253.9,2861.5
167,3225.7,7949.1
119,6701,1268.9
1601,6298.9,7888.2
5600,2505.5,6346.5
3808,7695.3,4474.7
3412,8966.8,3872.9
6476,432.63,6005.2
1405,8300.2,6498.3
33,5057.3,9202
1099,1081.7,9378
109,2715.7,6931.9
4922,6549.3,2032.1
1292,5086.9,8538.2
6792,5314.8,3456.9
3770,3988.6,8772.2
623,3249.8,5626.7
2145,6404.4,7457.2
1299,8828.8,6596.6
8244,8197.5,9984.7
1031,6039,8337.5
339,622.68,8278.2
6676,434.89,398.85
534,2954.2,2757.4
3282,2283.4,8505.1
4072,8570.9,6291.8
3381,9062.2,9188.6
3597,7314.7,7053.8
2744,6028.1,2067.8
453,5941.9,992.88
688,1242.4,2084.3
185,1022.1,5950.3
2300,3136.4,6187.2
191,5613.1,5630.8
6465,425.64,5934.5
3331,8188.5,7473
1377,6462,7932.1
1013,7498.6,9235.9
848,9568.4,4826.4
660,4493,5562.9
4218,9989.2,7995.4
9,3843.9,2305.5
4423,6331.2,8050.4
1230,7576.4,1039.5
2322,7638.8,1220.9
1501,6950,5468.8
2734,331.61,3001.5
3595,8529.1,1973
169,9403.3,7527
554,5288,4038
3748,3586.8,5232.5
6215,8971.5,3836.8
758,2400.1,2533.8
6283,7917.2,2426.6
1802,5753.3,3219.6
334,83.087,9590.3
8,6073.3,3574.3
1262,3212.3,3880.4
4533,8167.8,2901.1
339,6141.4,1857.7
1828,2711.8,3071
3483,1741.8,6085.5
2878,2238.6,4739.8
2091,455.93,2495
4062,4724.8,5914.5
14,4706.8,5036.3
14,464,5718.2
64,5157.7,7386.9
3731,9761.3,7988
3750,3219.5,704.45
2768,3255.9,4558.7
67,1268.3,2036.7
1510,4529,6400.2
913,794.46,9692.1
1116,5132.3,8553.2
2394,5796.9,5686.8
284,1977.7,5995.5
711,8905.8,2098.7
3712,6367.1,8056.4
2367,3833.9,5251.1
1114,2093.1,1322.5
3436,4253.8,9420.2
2301,2655.5,388.14
8689,2776.4,6513.7
3983,9680.8,1065
428,8548.5,2103.6
25,7250.7,3604.4
138,5030.4,968.95
1657,5416.7,984.77
1077,9340.5,8503.1
4793,2031.4,6626.2
1918,1494.3,8483.6
39,4931.1,2986.7
997,7403.9,8206.2
1188,8507.9,8542.4
2,2618,6944
679,1734.1,7623.5
720,3801.2,5359
40,1115.9,6744.6
28,2839.8,3379.9
4953,8173.5,2873.4
46,7405.9,6428.8
528,6398.2,2651.7
51,7054.4,2381.9
66,404.67,301.9
1508,9250.9,4927.3
8175,3227.1,9394.8
6498,4663.1,5820.4
6954,3511.5,7008.7
617,2262.3,7795.9
369,7634.5,6700.2
342,59.576,624.47
1027,4624.7,9678.4
269,2263.4,8477.4
1816,7572.5,362.54
1436,3220.5,831.68
4020,4434.4,8724.9
1213,2589.4,9294.6
1912,9593.6,4672.1
601,3345.5,2832.5
1986,5116,9190.8
710,5220.7,5737.4
726,9519.3,498.96
24,5969.2,6485.1
231,1867.4,8592.3
6554,418.91,1263.8
1114,3261.5,9399
4251,6868.9,7356
3059,2949.6,2822.1
1508,4558,6406.8
136,7444.1,9580.2
520,6399,9277.4
806,5887.1,5281.4
47,9115.1,2973.7
56,2075.6,9624.6
56,5983.7,2058.3
392,7009.6,4114.2
54,8516.7,2176.5
961,1894.1,5960.2
25,8945.2,4675.8
97,8531.6,2189.5
1311,2815.4,4046.2
391,2858.3,3342.3
585,5190,9862.7
1802,3262.9,9342.3
11,2728.5,9358.3
