frame,x,y
2507,8682.8,551.97
6112,6697.9,3126.4
5609,7239.6,2116.5
4324,4844.3,2407.4
4486,343.75,6944.2
965,3132.5,2226
606,3828.3,8260.1
9405,9062.7,7942.4
2246,2282,9287.8
1842,7462.4,3991
1128,4925.5,943.75
549,7597.4,8928.5
7727,2460.3,6978.3
7568,822.56,3668
4141,2491.1,1610.3
47,2226.4,5099.2
464,2545.9,3345.2
6167,4257.4,1942.4
1216,966.15,2715.5
6943,7871.7,8331.5
7544,2301,1867.7
760,6366.7,5933.8
3021,458.21,9338.7
5190,9124.2,8732.1
7202,3714.2,1093.7
1300,9340.6,4307.2
3167,6640,895.27
644,285.73,7136.3
5549,8554.8,4106.9
356,8930.8,6502
309,1624.4,1109.1
9406,9061.3,7992.1
1070,6081,8676.4
508,9870.6,4145.5
293,9126.9,5989.8
8756,6571.4,3310.9
195,9235.3,4726.3
60,1097.1,7569.5
3719,3779.4,9576.7
5,2330.2,3295.7
663,8926,9153.4
3789,9146.1,318.15
1908,5414.1,8088
3862,2314.9,6127.4
4669,6475.1,6846.6
2444,7817.2,8309.9
4367,2611.4,5132.5
7501,2168,7370.8
4350,9594.3,2511.7
411,8847.3,1888.7
1227,6825.7,8722.9
1686,8168.4,4458.9
30,7182.2,4990.6
267,7724.4,3931.5
2523,8168.4,6438.5
9218,7416.4,1189.6
1962,7484.2,6869
9719,610.92,8179.5
9413,6619.6,1187.2
5024,9061.2,7021.9
1622,6356.8,8586.5
1,9125,328.01
9792,2309.8,5034.3
4376,1908.3,5063.7
5503,2728.5,644.35
2996,6375.2,8611.5
4950,2366.2,6034.4
2380,8892.7,1496.3
7712,6365,3949.1
622,9038.4,7951.5
6733,3422.9,8199.8
257,2930.2,2282.2
4156,7232.5,4945.8
112,8235.7,1777.5
1034,2921.1,9145.8
2142,1713.1,7324
4434,5715,9141.3
2804,7477.8,6850.8
4157,8404.9,7258.6
638,5681.9,8701.6
3162,1888.2,2343
6158,7956.7,9798.7
405,1985.4,4928.9
3727,2947.8,9793.4
173,9624.3,451.12
3927,3873.2,4422.9
64,8550.1,3227
1233,6021.8,6122.2
3566,8497.6,287.59
5174,9028.6,205.84
111,1956.1,5145.7
1073,6508.9,6216.2
3858,6347.6,8590.5
2268,348.52,5083.8
400,4273.8,2368.8
5832,3478.3,189.19
5183,1924.2,9184.6
3354,1255.9,5071.8
273,2350.5,7678.7
9076,1553.4,9345.6
3932,4886.8,4096.5
1663,6979.2,8752.2
1215,8855.2,5330.3
4765,8911.6,2689.8
21,7336.1,9587.6
31,1025.4,6905.6
1439,3150,9873.7
5256,9531.3,3989.7
376,3480.9,8170.7
3804,6260.6,2748.2
3031,1709,1076.5
351,2951.2,9161.8
1551,7481.8,3891.6
5408,19.229,4210.4
7450,6107.3,6527
5373,7081.8,3328.4
4580,8293.2,5015.6
1841,8322.9,6044
7346,8815,1880.6
4701,9013.6,1243.6
1758,6348.3,8523.9
401,7536,8885.8
329,9599.3,515.06
881,7437,5849.3
1389,9044.7,9751.7
275,2293.2,4937.7
4860,1168,9995.3
3062,4057,3799.2
5799,6663.7,1419.6
534,8659.9,7523.9
556,5810.8,6475.6
551,2362.7,3737.5
1358,2297,3270.5
1218,8407.2,5717.4
3850,9403.8,7674.5
85,2359.6,6008.1
188,5804.9,622.41
8625,8182.8,1760
14,4734.6,7659.3
9161,1892,5525
5529,6686.3,1429.8
6130,2416,2045.8
4526,4274.4,8192.2
4197,7225.6,2924.5
62,2061.7,1137.8
1377,2064.8,1859.5
1467,4442,3095.7
5711,3053,2693.8
553,6506.8,1006.6
9179,2118,7366.4
2526,837.45,3710.1
7541,2261.7,1872.4
3428,9729.5,7851.1
7053,5768.2,1474.3
6737,6456.2,6572
3663,9434,4795.2
8696,3872,848.28
4768,9279.5,6851.9
200,5553.1,1935.7
3751,4819.3,7409.7
7450,9519,4307.8
245,8863.8,1527.2
9658,8733,2547
3110,8449.3,298.93
2437,4786.4,7599
5287,6328.2,9158.3
5914,8560.5,1350
191,8202.4,6412.2
527,3765,9570.8
1314,9594.6,203.01
8704,1913.9,5427.1
4657,4425.9,3034
1978,4004.9,2237.3
4089,6647.5,4399.9
1797,3369.1,3165.9
1640,1038.5,6955.7
6431,4195.3,8198.3
218,4001,9587.5
2961,8977.5,9669.4
279,3294.3,3626.6
9166,9640.5,1509.7
3120,1995.3,1340.3
1240,5464.6,3729.8
1708,3198.1,6597.1
2569,5665.8,2491.3
4383,1939.9,5050.3
9017,2432.3,762.9
2279,7146.2,4975.6
1379,784.13,9442.1
114,7286.8,775.55
5255,2908.2,9803.3
1766,2423.1,5464
9718,6147.4,193.58
3845,9457.3,7635.7
1059,1704.7,4846.5
4335,7746.6,639.54
8783,956.27,4244.3
985,1921.1,6792.2
2802,3182.9,7242.3
359,8307.7,7920.1
4320,2286.5,3313.2
3973,8760.7,2542.7
8106,6589.8,7680.4
4335,8526.3,335.53
4489,1437.6,8011.4
7084,4314.5,5729.9
1214,1272,5024
4979,61.537,5502.4
2491,7509.3,6880.8
666,6900.2,8844.7
255,9710.8,3443.4
5464,743.04,3337
395,5930.2,2711.6
7508,6411.8,3071.5
12,2854.9,6277.3
1810,2387.5,5497.1
