frame,x,y
1536,6362.7,1174.5
8192,4023.6,4938.6
1074,7483.8,2497.4
221,1316.3,1716.4
2002,4727.5,2509.2
1252,1423.6,723.32
8865,4021.1,6059.1
4860,9340.8,8670.3
692,8155.8,2351.4
1660,1761,3859.3
1394,9232.1,5696.2
607,8354.3,7237.4
1761,8697.6,5927.4
827,7605.8,5691.5
427,5090.6,41.015
3506,6886.8,1971.9
744,4653.1,7100.9
6315,9244.5,1776.9
881,9870.5,9815.8
183,6810.9,2309.4
135,8181.6,1854.4
2,7978.7,5000.9
3901,8737,1494.3
1225,4929.3,956.04
2752,8366.8,6357.7
4263,942.9,3082.6
2244,8580.1,3715.1
9267,2117.7,7524.8
485,8642,6873.3
28,9502.8,9613
7962,9909.7,823.68
273,2104,7490.5
1071,6759.9,8750.6
4217,7316.3,9551
16,5514,3574.4
1815,1265.3,8984.9
867,1370.3,5484.3
99,1082.9,1570.5
422,264.4,3868.3
17,994.76,9599.2
5217,8528.7,8450.4
1062,403.16,8828.7
8579,5500.5,1682.2
296,583.78,707.26
2189,3255.5,981.69
501,2238.1,8604.8
1579,5411.3,107.66
3984,5780.1,2809.9
8154,1322.5,4390.6
723,2799.1,290.56
429,5876.5,2193.3
948,2755.9,1899.5
658,846.87,6086.1
6947,2996.4,7594.8
5417,6908.1,2288.4
4866,9503.5,9525.5
6869,3514.3,8769.5
147,2848.5,8986.5
21,4738.9,7162.3
1970,1197.7,3253.4
780,6961.9,6179.9
2987,2606.7,2279.2
4895,6896.6,8957.3
396,3502.4,7132.5
193,4504.1,6537.6
540,3392.7,4344.7
331,9046.6,5469.5
55,5573.6,6706.7
319,5998.1,3624.7
4717,3567.5,4767.5
3206,3613.3,4736.4
331,991.21,295.46
6901,4497.8,1342.7
5939,5804.5,8499.2
207,3113.8,8909.2
1874,2441.6,9207.6
443,6942,1197.8
4541,2375.7,8490.7
592,6425.2,8119.3
55,4502.4,4418.8
40,1698.6,3391.5
768,238.2,6073.3
5949,5084.6,56.832
1113,7827,6854.3
4801,3479.4,9930.2
62,6876.6,1937.9
396,2417.1,8470.7
1729,5733.6,4707
264,9322.2,947.87
1418,6606.9,568.72
1050,2604.9,4853.1
2497,2953.4,3053.6
449,9926.1,3582.2
137,1572,7690.1
638,2981.8,1891.3
4452,2219.1,8647.2
4191,119.95,2903.4
350,8434.3,6600.6
2709,9960.3,9911.1
1106,8176.8,5439.9
4528,9463.5,1564.6
279,6451.9,527.9
1346,7820.1,156.17
1097,3883.7,8903.2
61,9959.3,626.71
1148,5637.4,638.06
5751,3042.4,5942.1
5026,4622.6,6291.2
1377,2375.8,1859.8
580,211.14,3158
2022,1253,9860.2
8324,3174.7,4397
3034,5578.6,2137.4
1690,8108.1,4469.6
2844,1496.2,3715.7
2791,2548.9,4224.6
48,3155,6892.6
305,2361.2,2977.7
884,7075.4,4198.8
224,414.6,1796
2000,2481.7,2423
4784,2682.3,9151.3
9645,6845.1,8683.6
1347,4448.9,4763.8
1676,458.92,6685.1
211,8876.2,4516.4
459,5620.9,4213
282,5503.7,8428.9
940,9855.6,3702.3
