frame,x,y
1001,6512.9,8862.5
5455,333.95,1658.6
1466,6417,7833.8
7200,2052.3,5166.8
942,7642.1,802.22
4510,4210.1,4656.4
5876,4196.7,4625.1
6770,869.23,4386.4
9933,7108.4,6892.1
161,9497.1,1395.2
3755,1958.5,5813.1
6357,2363.1,1979
166,5094.9,507.2
453,1332.8,4322.2
3128,3667.3,1560.5
2299,5348.1,8327.2
3099,5298.9,6703.9
6155,6013.8,3106.9
4528,2781.6,1558.9
440,4050.3,2347
820,1550.4,1245.9
6942,7125.5,9900.3
6292,1479.8,8609.7
3677,5031.3,2987
5032,9328.1,5347.9
8606,8158.2,2809.6
4312,5930.4,2626
5504,3898.8,494.34
1676,5230,2852.1
2401,9698.3,6364.4
2095,7817.8,1801.9
6806,6338,1899.6
4888,9170.7,1220.7
6355,2390.1,1956.5
3978,9155.8,8312.8
4960,4139.9,3263.7
578,6439.1,2133.3
294,8214.5,2756.6
141,9536.8,4375.2
7167,757.01,1435.4
774,3518.5,8726.3
70,6916.5,7381.2
7490,3140.6,5765.3
2304,3392.1,8167.5
5428,3656,4521.9
255,6955.8,8845.7
5946,6807.9,3594.1
4125,5008.3,6167.6
8728,7882.5,3858
1225,9172.3,1486.2
1984,7871.8,3341.3
8466,5052.2,9241.4
1898,3018.5,5620.4
5762,6990.9,8859.9
292,5938.9,1648.7
1940,2948.7,9349.6
272,6938,6210.1
1410,9001.6,6089.8
4035,6792.1,478.24
2197,3154.1,82.771
1514,6665.9,2559.5
8687,6718,243.72
263,9601.7,2989.6
4262,6302.7,382.25
5357,7924,5598.6
2376,182.84,3580.4
2908,9817.3,2052.6
2906,6929,2209.9
4166,2374.7,7376.3
3303,9718.6,6328.4
76,3015.2,5260.7
5633,4464.8,1499.8
1970,5414.5,423.83
5762,6109.5,3269.3
3342,7150.4,7079.5
6852,6021,4894.8
3555,8366.8,3052
1803,2139.9,2638.9
277,176.26,9830.3
300,2022.1,6724.2
308,5103.9,5293.1
3975,2213.1,2032.3
8556,9531.7,2419.9
9170,6798,8593.5
71,1477.9,112.55
2556,9927.2,9469.8
5,1882.2,1591.8
9654,9264.1,1018.8
4598,2709.2,8422.5
6118,2447.6,1902
9801,7469.6,7862.7
1542,634.39,1717.7
9069,6038.3,7930.4
2330,7412.9,6498.3
1488,6923.5,1651.4
2581,6545.3,751.03
2959,5992.9,9547
6445,3476.4,2015.6
7166,8152.3,5293.3
1266,3444.6,5804.5
8062,11.634,2238.1
4349,6110.6,640.87
1030,5324.6,6313.5
1020,5361.4,6290.1
2878,5643.4,144.44
5526,872.44,8765.7
1387,7722.2,3514.2
2701,1251.5,2811.8
603,3564.2,2261
4207,121.84,7397.7
9724,9913.2,6653.4
2209,6816.6,3582.9
1405,8253.5,9282.4
1975,6552,2428.3
325,8576.8,1527
2902,3804.7,771.7
1062,4150.3,3331.6
2651,8589.2,270.56
6626,5826.5,5873.1
190,774.65,8897.2
860,9787.6,4341.7
512,6310.1,9416.8
5078,119.41,9759.1
1237,5529,1361.5
5058,3363.5,3077.2
9312,9534.6,5453.4
6416,6114.5,1312.4
3112,3814.5,3104.8
4770,661.61,316.89
7767,6089.6,369.29
4597,9976.8,8256.4
7791,4710.2,8615.2
9403,7160.5,104.42
1776,2069.1,7433
7233,8885.8,9324.7
1381,3232.9,8139.7
5910,5002,9219.8
1741,8217.2,1776.3
909,1410.2,1608.1
3850,5176.4,8048.7
8107,6261.5,6829.2
6486,4442,4157.4
1,3433.1,4034.3
285,4656.7,7530.6
5184,6755.4,893.74
105,8250.7,3481.9
8260,1203.4,2.8871
1475,9410.8,135.37
6556,4817,6390.3
3749,1809.1,4981.5
4496,7503.7,9863.4
59,2500.9,5593.2
995,7223.1,8136.5
5480,7894.5,4466.7
4836,5023.4,2828.2
9076,3243.7,9023.5
7963,3017.2,7229.9
5058,3542,4412.5
3592,2635.7,1548.2
3241,6239.6,1985.7
9119,4111.3,1294.9
5840,5051,9196.1
4192,8874.5,9325
6629,3659.9,6491.4
1903,2981.2,5660.9
8237,6234.1,94.214
2081,1970.2,436.2
246,5695,5314.2
1493,4519.5,6168.5
6620,8281,5420
534,7734,995.65
2257,5892.5,1987
1667,9983.1,5351.1
64,461.08,4106.2
1516,4929.5,1309.8
2798,4464.7,4412.8
4185,7016.6,5798.1
7309,6547.7,9661.4
246,8259.6,7437.5
71,8295.1,7229.3
1742,646.99,8884.9
5821,6630.3,8227.8
906,9128.1,273.54
4683,6032.8,2232.8
3927,5263.6,9835.8
5828,8962.6,9572
37,4470.8,6059
5354,7410.3,6295
5414,2025.1,822.27
3434,9197.9,772.34
9007,8949.3,8609.2
720,128.11,2842.9
5525,1777.5,445.96
5312,381.39,2834.4
9824,6834.4,4257.7
2730,3314.7,2923.6
6218,8996.8,6007.4
5010,5071.4,2840.6
2765,6383,2012
4143,2303,7510.2
4426,8828.2,7300.7
1875,7277.7,8114.9
3714,4807.6,2530.4
2024,7220.1,1604
5094,3502.7,4418.1
3691,4330.3,9142.7
8280,6545.8,2149.7
7551,8520.1,2541.7
3114,6743.5,2130.6
1626,157.78,4909.9
1392,9926.2,6073.8
1026,5026.1,3737.2
4748,7232.4,9193.3
2304,5282.9,8291.6
1969,5885.6,1250.7
1375,9548.3,4031.3
8827,250.91,8104.7
1853,1026.3,5808.1
2228,3023.5,1482.4
971,6137.6,1309.2
9707,9061.5,5812.1
6544,4713.6,6298.2
1976,3639.7,604.28
9186,4785.6,6337.5
1362,4660.9,1174.7
9185,811.88,1109
503,7984.6,7909.4
785,8193.6,3472.2
247,7221.8,5971.8
1620,5847.2,5908.8
9419,6707.8,3537.9
3784,8797.8,2458.3
4224,1119.7,2275.2
8042,6070.8,7037.7
498,201.19,9801.7
5158,1188,2809.3
518,9519.4,4409.5
535,7748.5,1008.9
8107,7828.4,6284.8
177,859.06,6066.3
5986,7316.2,8342
502,9635.4,8175.4
1951,6002.9,6828.2
5409,7422.3,9810.2
6873,2783.4,7977.3
642,575.91,118.25
532,1530.7,3950
1718,1060.1,6382.6
112,5369.6,9715.7
1554,7524,9875.6
9438,1099.2,3757.2
4699,182.81,9767.7
1632,5840.3,7183.6
9005,5024,7119
3481,5888.1,7248.4
1714,3756.8,4928.9
7670,1012.7,206.08
3818,7277.2,5117.4
4314,2100.3,333.98
4225,5908.4,6677.2
1067,2145.2,4861.4
1360,6093.3,7437.8
4647,2534.8,9045.7
2115,7612.8,1155.6
1397,9185.3,1754.4
7492,4702.1,9667
7127,196.38,9554.1
5,9189.5,7244.5
7162,1787.4,6317.2
5731,7162.7,34.686
1629,4906.7,4205
3117,4173,3412.6
4707,6677.5,5593.7
136,8335.9,9236.5
124,9311.5,5580.7
929,9666.7,2457.5
1467,6407.7,1777.9
283,2767.7,930.95
1105,5817.7,8230.3
6198,9034.5,6034.4
8237,6519.2,9009.4
2588,5701.9,423.91
1516,427.92,346.47
7268,3528.5,8724.2
3762,1065.7,8709.4
208,8007.9,5868.9
7612,5776.8,6067.4
950,8590.4,4573.6
5643,6396,9100.4
2277,9296.7,1666.8
1519,502.47,8235.4
9488,9819.8,6546.3
463,8270.7,3217.1
464,9801.4,4191.4
4302,3988.4,266.06
3062,4158,2055
953,8446.4,4477.9
9460,2076.3,6768.8
1812,2561.8,7876
176,8837.8,4850.5
2773,7120.3,7977.6
2901,1100.3,7858.4
708,9526.8,8860.6
3283,1699.6,4432.5
143,7376.1,7259.1
3550,6317.1,7427.6
5895,1581,8714.8
2658,5700.5,854.42
674,4034,605.1
1171,9743.4,5934.3
9697,722.82,8610.5
9540,3856.1,1414.2
5993,1090.1,7323.3
1728,2833.4,2820.9
8535,921.52,1027.6
457,1216.1,5470.1
4313,9913.8,9507.8
7659,1262.7,2749
4805,514.05,1276.4
5069,4244.9,9475.5
5043,1799.1,4984.3
286,1251.8,9477.8
591,4368.7,9675.3
1359,525.99,8190.4
7667,4472.4,5535.2
7365,2826.5,5445.9
593,7081,2488.6
2872,6425.4,6334.7
502,6633.3,5304.2
9771,3279.9,3667.3
610,9304,5710.1
1763,5072.6,1892.3
9207,6732.7,289.1
5066,5003.5,8010.5
9647,127.37,7368.8
5524,876.27,8775.3
6632,6371.7,1247.6
2912,1517,6520
2544,5206.1,417.39
3836,7312.2,8800.7
9649,1516.1,3121.8
438,1168.6,2261.8
424,3992.3,154.76
4005,2265.8,2041.1
402,5242.9,8602.5
4235,5070.5,2844.8
4004,1919.8,9493.6
8281,584.05,1298.7
3852,7113.2,6548.1
4012,1672.6,4352.6
3404,1147.7,4201.3
2825,3001.5,957.48
8502,2871.3,1439.1
1582,7573.1,9804.1
1402,2740,8946.2
301,6595.5,4704.1
8447,3097.8,458.9
7643,6655,1688.2
6418,1684.2,2161
2196,3200.9,112.88
4867,7305,4016.7
7694,214.38,4706.4
389,1118.1,9341.3
2398,859.52,5995.4
4,6092,4089.2
1563,586.87,1640
1333,5011.8,3322.9
5722,9553.6,4446.5
2236,1991.7,9360.1
1380,3226.6,8225.9
36,7959.8,1571.6
1631,1678.8,2005
2928,6077.6,9402.8
5627,2185.4,7910.1
5131,4980.7,6156.9
298,7598.3,8847
31,1544.1,1022.4
5544,7328.5,9138.8
9878,3464.2,177.02
5592,6462.1,602.3
3593,2366,7446.1
3186,8262.9,3861.9
438,4035,2314.6
4790,3562.9,631.12
1121,3719.1,4504.5
1109,2063.3,5705
618,9033,1644
1717,7224.9,6234.9
1139,5750.1,7072.3
669,6507.1,4793.8
3440,3197.5,8263.2
7961,2977.3,7260.2
6779,5111,4990.4
4155,7020.7,5825.8
394,9431.7,3746.7
389,3989.1,9776.4
3829,7557.8,434.91
7452,6642.9,1664
2677,4749.9,1870.7
744,7886.9,388.43
7664,6397.1,7838.6
6545,4804.1,6307.8
1837,6726.7,425.76
1988,3672.7,585.59
366,6144.3,9959.7
9652,9006.2,1589.6
287,8168.9,2752.2
2121,9738.6,5864.5
214,4833.2,2020.1
6124,732.66,1683.9
869,9971.4,8222.3
1713,5695.8,1.8954
4084,1928.4,9548.7
1676,6686.3,6282.8
4381,2789.7,966.02
1796,4316.9,6239.7
7424,6118.7,9319.6
9971,8056.8,9727.1
2383,8594.8,362.76
8303,3020.2,4473.6
1831,2144,7197.4
4941,6598.4,8845.8
4490,4335.8,6186.2
15,6314.2,1907.7
2830,8652,4226.5
6324,3526.6,1689.4
1,5283.1,7145.7
3108,4815.7,1978.8
191,5930.9,1828.1
243,7318.7,4936.3
200,1868.4,3537.8
8174,3311.8,7088.6
2850,6671.9,4784.5
8748,9565.8,8111.2
7157,77.111,7257.6
593,2174.1,2493.8
2131,476.72,697.16
2952,6734.5,402.01
1986,7875.9,3364.4
291,8753.6,2487.8
2542,6975,7326.8
391,1181.2,9284.2
1360,2935,3513.3
4632,5676.8,8431.6
5043,1542.3,7282.4
841,7002.4,8482.3
1215,2014.6,9316.6
435,4357.2,6965.9
3089,787.51,6055.6
1214,7898.9,4509.1
4014,4833.4,8516.9
706,6705.6,2546.8
