frame,x,y
4155,3378.8,4692.2
878,5217.5,9704.2
3918,8279.8,7429
3679,424.14,2528.8
254,9438.9,8361.2
589,4683.2,5534.2
21,4866.8,7918.9
602,9797.1,1821.5
2340,840.32,2563
232,4458.8,2925.1
11,9376,2664.7
1332,1820.1,929.1
225,3628.7,121.18
356,1245.9,5147.1
58,1844.1,5666.8
4905,3745.1,2608
90,6466,9068.6
7024,6906.4,729.28
100,3352.1,4180.4
1437,9828,3453.8
197,6886.2,3130
481,7148,3262.4
119,1051.5,2063
2181,1991.2,4272.7
171,1991.7,1573.8
362,5942.4,3342.1
356,7364.9,9772.6
2215,497.65,7305
325,2313.1,6917.6
2603,6583.6,6732.5
1258,1376.6,8686.3
2221,9768.9,1606.4
457,7648.9,3711.3
7231,3148.5,1330.7
427,657.45,8722.6
2143,4458.1,9489.7
5563,38.444,8047.4
5846,6480.3,8090.8
244,2810.7,6847.7
9815,6386.1,2286.7
101,5975.6,1802.7
1,6197.3,7285.2
225,6221.8,8542.1
210,4087.7,1683.6
6920,5890.7,7988
117,5757,9996.8
5365,5559.2,1541.4
226,3945,7799.4
2293,5853.8,5054.5
730,5557.9,9712.9
6454,266.81,1091.4
2587,1704.3,2678
524,7179.2,7469.1
1,9858.6,3585.8
3514,890.35,5628.4
1019,606.83,8668.6
260,8937.7,2051.3
2785,3109,2375.5
954,9200,2967.3
2868,9597,3872.3
2869,9572.4,3949.3
2792,8152.8,1906.3
61,3058.6,7986.9
2287,3240.4,551.69
1066,194.35,3857.1
394,2430.5,7564.1
85,8776.5,1213.5
1877,8053.9,852.07
192,5553.1,2710
4339,2074.6,4020.4
347,4036,3867.6
1381,4782.6,7178.3
583,1443.1,168.8
18,2307.6,3415
6024,3225.1,579.6
4054,1155.4,4453.4
85,4380.2,9804.8
447,4910.1,7630.3
318,9146.1,3754.2
954,639.54,1578.3
1328,9014.2,6329.1
460,5326.3,240.57
594,2124.8,8062.3
11,5634,2191.2
265,4941.7,1425.3
1772,3001.3,508.36
410,5731,9730.6
414,3289.2,7117.6
1537,8382.8,8164.8
5111,6950.6,9842.7
391,2831.5,1257.5
1105,1513.9,2295.1
715,834.71,717.17
1,937.8,5490.3
574,3526.3,3690
1094,2577.3,6862.7
2610,5624.5,6272.3
1138,3533.1,9586.4
4735,9599.8,309.25
1224,1991.9,5682.2
1932,6134.8,5018.3
7027,8884.6,1944.6
135,736.66,4881.6
2775,4692.4,6023.7
3016,4480.3,2329.7
47,8682,2059.2
3332,604.54,1897
2023,3189.3,7726.5
454,7230.8,4849.1
147,4556.3,3915.3
6860,3466.9,1774.2
2261,1646.8,329.84
244,1821.9,206.3
175,5887,7617
1652,848.99,7368.1
748,1585.3,2857
187,1053.9,7267.3
781,9966.4,6373.8
2038,2564.5,1033.8
3389,4603.3,8167.6
133,743.6,7525.1
482,2235,9345.7
2110,593.56,4629.5
482,5137.6,2374.1
196,6439.1,9534.7
318,6419.4,1860.8
9,6052.9,5781.5
34,9924,5297.9
2471,7315.7,8985.8
537,7167.5,4112.4
542,9068,7154.4
2585,1874.7,6773.9
1500,4104.1,9979.8
2334,254.21,5216.2
439,4449.6,8454.5
196,7361.9,1614.1
3466,5770.1,9965.6
1809,7752.5,2318
1268,4983.7,1461.9
2593,4379.3,4131.3
1981,5420.4,6344
1529,6087.9,5950.9
528,7918.6,2171.7
2797,1908,6236.3
4536,373.73,2013.9
4209,2461.6,1792.1
3527,1912.3,4322
295,6424.4,6493
490,5976.8,1919.6
2573,4698,2437.8
4098,8296.7,6426.6
751,8950.7,6876.2
1045,6589.8,4171.8
3338,7107,2913.8
2,4996.1,298.43
732,2704.1,4784.5
5,871.62,2475.1
172,932.57,3617.5
62,7814.7,1601.7
1887,3344.9,6457
952,9262.6,8604.3
423,9114.6,2108.8
101,6723.4,3594.7
338,1180,8715.2
216,3523.7,5822
33,3999.7,1401.3
69,1067.4,2057.8
1721,8701.4,1958.6
286,6648.2,5343.3
1088,1644.4,4734.4
243,7267,4864.6
619,1583.7,988.24
5897,9070.1,1343.6
793,9223.3,1026.3
3939,4308.9,1635
8021,4766.9,9610.8
106,2411.7,2921.1
2895,6864.3,7597.4
20,4954.5,798.47
372,7925.1,2189.1
4713,1421.5,7930.1
61,6076.9,3538.3
3108,5773.4,9080.2
3127,5383,7842.7
1085,9900.3,4764.2
582,8717.6,3952.4
675,431.69,6364.3
9555,6526.2,904.82
3443,6363.5,973.38
92,495.92,7643.3
3383,5607.5,6708.4
120,1663.3,4280.3
6937,5340.6,2530.4
5184,2917.6,1896.5
365,1472.9,3822.2
4182,3739.7,2607.8
514,9754.6,8003.6
2253,724.82,7610.3
886,9003.9,5942
880,5276.3,5141.6
1138,179.18,8052.8
2946,958.55,5105.4
1365,6974.6,8194.6
5986,1225.1,7394.5
2845,123.76,1722.4
5478,7977.5,5046.3
337,6111.4,1662.5
583,241.52,7535.6
631,9957.9,4163.2
883,7864,7385.8
6061,1303.4,8711
2417,379.56,1979.8
405,3143.9,8216.6
1173,2811.5,7356.4
1608,1904.2,5905.5
3887,3655,7411.8
137,7459.6,8228.9
339,5527.6,9080
4516,2413.6,1999.3
362,4436.8,7409.3
645,4086.3,4694.9
83,8097.6,3462.9
89,4015.6,5920.7
5592,8046.4,8822.6
254,6448.6,7604.5
2794,4991.4,9671.9
1450,6403,9986.1
2191,809.7,9206.3
206,4297.2,6438.7
1013,3776.8,9742
262,7110.4,4202
177,4715.8,3979.3
4862,2569.8,8536.3
3080,3994.6,8093.8
2125,9966.6,2805.6
12,5897.1,1896.9
1992,8333,6412.5
1844,4679.4,7752.6
67,6447.3,7924.7
506,6277.6,7545.4
83,443.48,5593.4
2120,8926.4,4560.6
8079,6166.1,4980.6
396,9805.4,9828.7
428,9136.5,2132.3
156,8505.1,4456.7
4465,2632,7401.4
4224,1222.6,3282.2
554,2274.2,8242.3
1987,3628.5,3679
1039,7527.4,7721.2
326,7270.1,4247.3
23,2560.5,6850.1
2106,4481.7,7761.9
846,549.52,5327.7
48,6354.9,9649.7
3127,7012.8,6352.3
2314,5724.5,8198
170,7427,5773.8
2262,3993.3,547.28
201,7359,1652
669,1746.9,8881.7
1181,7711.5,7306.7
125,3090.8,9660.1
59,9478.5,9815.6
2873,7301.5,9082.5
394,5614,6568.5
1537,5905.9,260.88
551,2235.5,7394.1
308,8611.9,8890.8
2506,5749.9,9973.3
877,8372.7,4801.9
166,733.36,3525.4
3128,5372.2,7818.5
7086,5572.2,3451.6
2909,117.74,4384.1
606,745.76,5592.2
138,9575.1,9389.2
105,2393.8,2936.6
81,8396.8,6842.9
574,8029,5476.4
1721,9196.8,6389.3
7600,2365.7,6917.9
3579,432.01,2663
5409,1891.1,569.32
4743,6218,6038
174,7918.9,5570.7
2029,5033.1,6096.5
8894,413.6,2204
3656,7008.2,8859.8
947,6110.6,1257.2
252,1268.7,5869.1
235,7311.8,5807.4
1580,7935.1,2975.9
526,7144.5,7430.6
487,1314.3,9404.6
254,9803,3363.5
919,348.95,4550.6
9016,347.39,4256.5
2527,744.68,9226.6
160,5888.2,2807.6
861,5731.1,9822.9
498,7030.8,7706.4
5181,6655.4,955.71
75,9922.6,1128.1
946,9429.4,8853.8
438,5514,89.188
415,7380.9,9558.4
2797,4713.8,6025.3
595,5810.1,7248.2
6012,3093.3,6407.7
182,6910.7,6533.5
54,7045.9,8154.7
75,6455.6,1692.5
3912,2511.5,2654.8
1239,2427.7,8267.4
312,7157,9107.8
2271,8973.8,3183.1
6,2446.8,5704.8
67,8375.1,1096.4
1872,9367.7,1551.6
73,4663,2422.9
783,7691.6,5484.9
4877,175.47,6675.1
1899,6359.8,4270.2
62,6531,1777.5
3384,881.21,3605.7
368,200.25,2744.2
517,8900.1,7747.3
1399,8727.8,5334
5242,6798.9,1488.4
2629,811,8797
112,6872,9493.3
639,3611.6,5855.6
458,7646.6,2508.2
215,45.677,1562.5
2129,569.4,9334.1
237,7322.4,5778.8
5866,3346.2,6424.5
746,5061,6140.7
878,2856.1,4916.8
2222,2224.4,3320.6
2574,87.907,4386.7
2557,5099.9,3725.4
407,1689.3,9457.2
4565,2502,1208.1
440,3535.9,8022.3
668,1595.2,8115.2
179,1452.3,9264.5
4037,8177.1,7404.8
1229,9081,2853.7
1559,6071.8,3546.4
8145,3143.6,1644.5
786,8504,5095.4
1624,1902.7,5876
4534,348.21,2061
2827,131.78,1692.6
494,1448.7,5778.1
1460,1145.7,8355.3
3909,2526.2,2650
616,3882.8,7523.5
117,8492,634.29
636,3470.8,7237.2
4352,2315.9,3197.1
81,961.3,6525.2
531,1806.6,1907.5
