frame,x,y
88,9450.9,5852.2
14,210.6,8771.4
2209,6449.7,9003.4
1206,1237.6,2204.1
6659,3054.3,5883.6
2100,6719.3,7964.7
6291,9470.4,8078.4
1250,4755.8,8147.7
1271,9730.5,1482.7
860,8733.5,6824.2
4705,2833.3,578.01
5484,591.77,6562.7
5091,6856,5605.8
8951,8730.7,4591.9
5922,8659.5,8363.7
6860,6002.8,6403.7
904,3151.1,5254.5
8896,90.969,2628.1
306,3447.3,8711.4
1828,6016.4,2697.3
6441,7128.1,5154.7
7000,3645,5828.7
1514,199.74,2575.6
3115,1091.1,3213.4
8297,1416.5,5147
1137,673.9,9444.3
2020,5298.1,8659
3429,5430.7,4859.9
5301,454.77,8096.1
362,4917.9,6306.8
1032,4390.2,7993.1
6,7369.2,7368.3
868,1888.5,4833.8
1147,877.64,7801.8
4738,8550,5058.3
430,2758.2,5145.7
23,7071.9,6879.7
7718,1485.1,4615.7
4366,5505.8,8202
57,8005.6,9626.3
3958,7881.7,7763.8
1864,3450.3,1992.9
3186,6696.9,8144.1
5603,8907,912.48
1036,7508.3,5903.5
2611,3514.7,2871.4
2308,2649.9,213.52
590,9021.3,490.38
6685,2964.1,5841.1
7730,998.55,1305.7
1217,2067.4,4620.9
1036,1676.4,5608.5
8817,5965,898.89
3718,9806.9,9755.8
1622,4787.3,6356
6972,4162.8,6756.9
1919,8102,6063.8
19,6561.7,1855.7
1139,9010.3,6727.3
2533,2316.7,1002.6
1732,8222.4,2132.8
3097,3690,8391
5106,816.32,6147.8
1853,6861.2,9900.4
1236,942.38,6370.8
5141,1349.2,2004
423,179.34,7007.1
82,2202.5,2391.3
2011,331.8,2113.1
8785,8697.1,5419.1
1144,4760.9,4545.6
273,1434.3,4499.4
3171,2122.1,5550.8
244,5764.3,2124
2719,6523,1894.3
8098,6147.3,8715
3342,5340.1,4882.4
9495,1045.6,7500.5
9467,8837.1,4408.2
7926,3211.4,4303.3
393,1514.6,419.45
4741,4244.7,144.73
4651,1920.4,1287.5
5204,1314,8515
732,8583.4,6436.9
38,4825.8,6067.4
3047,8926.4,3167.3
6909,1244.8,4653.3
1,4121,581.62
2955,5281.2,7855.9
2320,9665.8,9620.2
3960,6576.3,976.17
598,8696.7,4642.8
1980,9117.6,6694.6
6883,6214.9,9878.5
2691,3984.2,2613.8
4789,9812.4,3469
2865,5543.3,3927.9
1062,699.3,8771.8
4082,1182.9,8601.7
71,9852.5,3584.4
